                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6529,                 1.5861,                 2.0266,                0.67682,                0.69947,                0.73761,                0.42149,                  1.505,                 1.2474,                  2.124,             0.00048074,             0.00048074,             0.00048074
                     35,                 1.6394,                 1.5901,                 2.0175,                0.77074,                 0.7503,                0.80547,                  0.476,                 1.4158,                 1.1656,                 2.0137,             0.00047367,             0.00047367,             0.00047367
                     36,                  1.592,                 1.5039,                 1.9499,                0.83634,                0.78449,                0.84024,                0.48869,                 1.4206,                 1.1606,                  2.028,              0.0004666,              0.0004666,              0.0004666
                     37,                 1.5884,                  1.465,                 1.9192,                0.76686,                0.82127,                0.84644,                0.50467,                 1.3763,                  1.043,                 1.9894,             0.00045953,             0.00045953,             0.00045953
                     38,                 1.5801,                 1.4584,                 1.9432,                0.80421,                0.75867,                0.81944,                0.47588,                 1.4093,                 1.0782,                 2.0138,             0.00045246,             0.00045246,             0.00045246
                     39,                 1.5317,                 1.4204,                 1.9148,                 0.9258,                0.76477,                0.86553,                 0.5136,                 1.3599,                 1.0818,                 1.9533,             0.00044539,             0.00044539,             0.00044539
                     40,                 1.5504,                 1.4352,                 1.9101,                  0.849,                0.79713,                 0.8751,                0.50984,                  1.372,                 1.0038,                  2.012,             0.00043832,             0.00043832,             0.00043832
                     41,                 1.5406,                 1.3527,                 1.8751,                 0.8738,                0.80354,                0.87872,                0.50787,                  1.357,                0.98895,                 1.9462,             0.00043126,             0.00043126,             0.00043126
                     42,                 1.4887,                 1.3139,                 1.8548,                0.91375,                0.81006,                0.88474,                0.55979,                 1.3358,                0.93648,                 1.9132,             0.00042419,             0.00042419,             0.00042419
                     43,                 1.4683,                 1.2963,                 1.8268,                0.84199,                 0.8356,                0.89062,                0.54183,                 1.3617,                0.93026,                 1.9581,             0.00041712,             0.00041712,             0.00041712
